table,column,type,required
deep_technology_branches.csv,color,string,true
deep_technology_branches.csv,id,string,true
deep_technology_branches.csv,name,string,true
deep_technology_nodes.csv,alien,bool,true
deep_technology_nodes.csv,branch,string,true
deep_technology_nodes.csv,icon,string,false
deep_technology_nodes.csv,id,string,true
deep_technology_nodes.csv,importance,number,true
deep_technology_nodes.csv,is_pair_second,bool,false
deep_technology_nodes.csv,layout_depth,number,true
deep_technology_nodes.csv,layout_lane,number,true
deep_technology_nodes.csv,max,number,true
deep_technology_nodes.csv,name,string,true
deep_technology_nodes.csv,ranks,number,true
deep_technology_nodes.csv,size,string,true
deep_technology_nodes.csv,tier,number,true
airframes_definitions.csv,aoe_budget,number,true
airframes_definitions.csv,blast_radius_multiplier,number,false
airframes_definitions.csv,burst_target_count,number,true
airframes_definitions.csv,capacity_cost,number,true
airframes_definitions.csv,damage_multiplier,number,true
airframes_definitions.csv,fire_rate_multiplier,number,true
airframes_definitions.csv,health_multiplier,number,true
airframes_definitions.csv,id,string,true
airframes_definitions.csv,kind,string,true
airframes_definitions.csv,large_target_damage_multiplier,number,false
airframes_definitions.csv,name,string,true
airframes_definitions.csv,range_multiplier,number,true
airframes_definitions.csv,scale_multiplier,number,true
airframes_definitions.csv,spawn_multiplier,number,true
airframes_definitions.csv,speed_multiplier,number,true
airframes_definitions.csv,suppression_cooldown,number,false
airframes_definitions.csv,suppression_delay,number,false
airframes_definitions.csv,suppression_radius,number,true
airframes_definitions.csv,turn_multiplier,number,true
airframes_definitions.csv,unlock_node,string,true
airframes_definitions.csv,warmup_damage_multiplier,number,false
airframes_definitions.csv,warmup_seconds,number,true
perks_definitions.csv,color,string,true
perks_definitions.csv,description,string,true
perks_definitions.csv,display_key,string,false
perks_definitions.csv,display_mode,string,false
perks_definitions.csv,effect_label,string,false
perks_definitions.csv,icon,string,true
perks_definitions.csv,id,string,true
perks_definitions.csv,layer,string,true
perks_definitions.csv,name,string,true
perks_definitions.csv,priority,number,true
perks_definitions.csv,stage,number,true
economy_buildings.csv,color,string,true
economy_buildings.csv,description,string,true
economy_buildings.csv,id,string,true
economy_buildings.csv,name,string,true
economy_buildings.csv,unlock_research,string,false
expedition_setting_definitions.csv,default,number,true
expedition_setting_definitions.csv,id,string,true
expedition_setting_definitions.csv,integer,bool,true
expedition_setting_definitions.csv,max,number,true
expedition_setting_definitions.csv,min,number,true
expedition_setting_definitions.csv,name,string,true
economy_buildings.csv,max_count,integer,false
