table,catalog,parent_table,parent_field,shape,id_column,key_column,presence_column
deep_technology.csv,deep-technology.json,,,object,record_id,,
deep_technology_branches.csv,deep-technology.json,deep_technology.csv,branches,object_list,id,,has_branches
deep_technology_nodes.csv,deep-technology.json,deep_technology.csv,nodes,object_list,id,,has_nodes
deep_technology_nodes_cost.csv,deep-technology.json,deep_technology_nodes.csv,cost,map,,currency,has_cost
deep_technology_nodes_draw_position.csv,deep-technology.json,deep_technology_nodes.csv,draw_position,list,,,has_draw_position
deep_technology_nodes_effect_definition.csv,deep-technology.json,deep_technology_nodes.csv,effect_definition,map,,key,has_effect_definition
deep_technology_nodes_effects.csv,deep-technology.json,deep_technology_nodes.csv,effects,list,,,has_effects
deep_technology_nodes_requires.csv,deep-technology.json,deep_technology_nodes.csv,requires,list,,,has_requires
deep_technology_nodes_unlock.csv,deep-technology.json,deep_technology_nodes.csv,unlock,map,,key,has_unlock
deep_technology_nodes_values.csv,deep-technology.json,deep_technology_nodes.csv,values,map,,attribute,has_values
airframes.csv,airframes.json,,,object,record_id,,
airframes_base.csv,airframes.json,airframes.csv,base,map,,key,has_base
airframes_definitions.csv,airframes.json,airframes.csv,definitions,object_list,id,,has_definitions
perks.csv,perks.json,,,object,record_id,,
perks_definitions.csv,perks.json,perks.csv,definitions,object_list,id,,has_definitions
perks_definitions_airframes.csv,perks.json,perks_definitions.csv,airframes,list,,,has_airframes
perks_definitions_kinds.csv,perks.json,perks_definitions.csv,kinds,list,,,has_kinds
perks_kinds.csv,perks.json,perks.csv,kinds,list,,,has_kinds
perks_layers.csv,perks.json,perks.csv,layers,list,,,has_layers
perks_legacy_ids.csv,perks.json,perks.csv,legacy_ids,list,,,has_legacy_ids
perks_neutral_modifiers.csv,perks.json,perks.csv,neutral_modifiers,map,,key,has_neutral_modifiers
perks_settings.csv,perks.json,perks.csv,settings,map,,parameter,has_settings
economy.csv,economy.json,,,object,record_id,,
economy_buildings.csv,economy.json,economy.csv,buildings,object_list,id,,has_buildings
economy_buildings_cost.csv,economy.json,economy_buildings.csv,cost,map,,currency,has_cost
economy_initial_buildings.csv,economy.json,economy.csv,initial_buildings,map,,key,has_initial_buildings
economy_integer_settings.csv,economy.json,economy.csv,integer_settings,list,,,has_integer_settings
economy_local_shield.csv,economy.json,economy.csv,local_shield,map,,key,has_local_shield
economy_ranges.csv,economy.json,economy.csv,ranges,map_list,,key,has_ranges
economy_settings.csv,economy.json,economy.csv,settings,map,,parameter,has_settings
expedition.csv,expedition.json,,,object,record_id,,
expedition_default_settings.csv,expedition.json,expedition.csv,default_settings,map,,parameter,has_default_settings
expedition_legacy_tech_ids.csv,expedition.json,expedition.csv,legacy_tech_ids,list,,,has_legacy_tech_ids
expedition_sector_ids.csv,expedition.json,expedition.csv,sector_ids,list,,,has_sector_ids
expedition_setting_definitions.csv,expedition.json,expedition.csv,setting_definitions,object_list,id,,has_setting_definitions
legacy_technology.csv,legacy-technology.json,,,object,record_id,,
legacy_technology_branches.csv,legacy-technology.json,legacy_technology.csv,branches,object_list,id,,has_branches
legacy_technology_definitions.csv,legacy-technology.json,legacy_technology.csv,definitions,object_list,id,,has_definitions
legacy_technology_definitions_cost.csv,legacy-technology.json,legacy_technology_definitions.csv,cost,map,,currency,has_cost
legacy_technology_definitions_gates.csv,legacy-technology.json,legacy_technology_definitions.csv,gates,object_list,record_id,,has_gates
legacy_technology_definitions_legacy_requires.csv,legacy-technology.json,legacy_technology_definitions.csv,legacy_requires,map,,key,has_legacy_requires
legacy_technology_definitions_preview.csv,legacy-technology.json,legacy_technology_definitions.csv,preview,list,,,has_preview
legacy_technology_definitions_purchase_requires.csv,legacy-technology.json,legacy_technology_definitions.csv,purchase_requires,map,,key,has_purchase_requires
legacy_technology_definitions_requires.csv,legacy-technology.json,legacy_technology_definitions.csv,requires,map,,key,has_requires
legacy_technology_initial_levels.csv,legacy-technology.json,legacy_technology.csv,initial_levels,map,,key,has_initial_levels
