id,value,minimum,maximum,description
HealthBase,29.25,0.001,1000000000.0,敌机基础生命
HealthSettingReference,29,0.001,1000000000.0,参数面板敌机生命参考基数
DamageBase,9,0.001,1000000000.0,敌机基础DPS
OpeningDamageMultiplier,0.35,0.1,1,前期敌方伤害倍率
OpeningDamageHoldThroughWave,20,1,1000,前期减伤完整保持到的波次
OpeningDamageFullWave,40,2,2000,前期减伤线性恢复结束的波次
TacticalSpeedBase,0.32,0.001,100,敌机基础战术速度
EliteFirstWave,5,1,100000,精英首次波数
EliteInterval,13,1,100000,每多少架出现精英
EliteOrdinal,12,0,99999,精英在间隔中的零基序号
EliteHealthMultiplier,2,0.001,1000,精英生命倍率
EliteDamageMultiplier,1.5,0.001,1000,精英伤害倍率
GroundDamageFloor,0.03,0,1000000000.0,敌方对地单发最低伤害
GroundDamageMultiplier,0.075,0,100,敌方DPS转对地伤害系数
SmallBossSpawnFraction,0.35,0,0.95,小Boss在部署窗口中的相对顺序
MediumBossSpawnFraction,0.5,0,0.99,中Boss相对顺序
MotherAltitude,5.65,0.1,1000,近地母舰离地球基准表面的高度
SpawnConeMin,0.20943951024,0,1.5,初期出生散布弧度
SpawnConeMax,0.31415926536,0,1.5,后期出生散布弧度
SpawnMotherClearance,1.4,0,100,出生点与母舰最小间距
FrontierLateralRadius,2.8,0,100,后续母舰周围出生散布半径
FrontierLateralMinimum,0.25,0,100,后续出生散布最小偏移
FrontierForwardMin,1.4,0,100,后续出生点前方距离下限
FrontierForwardMax,3,0,100,后续出生点前方距离上限
ContinuingVolleyCount,1,1,128,后续母舰攻击弹数
ContinuingHangarInterval,1.8,0.01,300,后续母舰出击间隔
ContinuingCarrierHealthMultiplier,3,0.001,1000,后续母舰相对单位生命倍率
LegacySpawnSpeedBase,0.115,0.001,100,流星及旧生成路径速度基数
LegacySpawnSpeedWaveGrowth,0.003,0,10,流星及旧生成路径每波速度增长
ArmorExposedMultiplier,1.5,0,100,铸甲督军暴露后受伤倍率
WeaverCooldown,0.5,0.01,300,织幕支援施放间隔
WeaverRange,2,0.01,100,织幕链接范围
WeaverMaxLinks,6,1,128,织幕最大目标数
WeaverShieldFraction,0.2,0,10,织幕首次能量层占生命比例
WeaverRecoveryBudget,0.5,0,10,织幕总恢复预算比例
WeaverRecoveryFraction,0.05,0,1,织幕每次恢复比例
JammerCooldown,3,0.01,300,干扰施放间隔
JammerDuration,2,0,300,干扰持续时间
JammerFireRateMultiplier,0.75,0,2,被干扰后的射速倍率
HeavyChargeSeconds,2,0.01,60,攻城与铸甲/棱镜Boss蓄力时间
LightChargeSeconds,0.8,0.01,60,其他蓄力武器时间
ForgeExposureSeconds,2,0,60,铸甲督军开火后暴露时间
SporeProjectileSpeedMultiplier,0.6,0.001,10,可拦截孢子弹弹速系数
