parent_id,position,currency,type,value
K_S01,0,science,integer,4
K_S21,0,science,integer,4
K_S02,0,science,integer,4
K_S22,0,science,integer,4
K_S03,0,science,integer,5
K_S23,0,science,integer,5
K_S04,0,science,integer,5
K_S24,0,science,integer,5
K_S05,0,science,integer,6
K_S25,0,science,integer,6
K_S06,0,science,integer,18
K_S26,0,science,integer,18
K_S07,0,science,integer,18
K_S27,0,science,integer,18
K_S08,0,science,integer,22
K_S28,0,science,integer,22
K_S09,0,science,integer,22
K_S29,0,science,integer,22
K_S10,0,science,integer,26
K_S30,0,science,integer,27
K_S11,0,science,integer,77
K_S31,0,science,integer,77
K_S12,0,science,integer,77
K_S32,0,science,integer,77
K_S13,0,science,integer,96
K_S33,0,science,integer,96
K_S14,0,science,integer,96
K_S34,0,science,integer,96
K_S15,0,science,integer,115
K_S35,0,science,integer,116
K_S16,0,science,integer,333
K_S36,0,science,integer,333
K_S17,0,science,integer,333
K_S37,0,science,integer,333
K_S18,0,science,integer,416
K_S38,0,science,integer,416
K_S19,0,science,integer,416
K_S39,0,science,integer,416
K_S20,0,science,integer,499
K_S40,0,science,integer,500
M_S01,0,science,integer,4
M_S24,0,science,integer,4
M_S02,0,science,integer,4
M_S25,0,science,integer,4
M_S03,0,science,integer,5
M_S26,0,science,integer,5
M_S04,0,science,integer,5
M_S27,0,science,integer,5
M_S05,0,science,integer,6
M_S28,0,science,integer,6
M_S06,0,science,integer,18
M_S29,0,science,integer,18
M_S07,0,science,integer,18
M_S30,0,science,integer,18
M_S08,0,science,integer,22
M_S31,0,science,integer,22
M_S09,0,science,integer,22
M_S32,0,science,integer,22
M_S10,0,science,integer,26
M_S33,0,science,integer,27
M_S11,0,science,integer,77
M_S34,0,science,integer,77
M_S12,0,science,integer,77
M_S35,0,science,integer,77
M_S13,0,science,integer,96
M_S36,0,science,integer,96
M_S14,0,science,integer,96
M_S37,0,science,integer,96
M_S15,0,science,integer,115
M_S38,0,science,integer,116
M_S16,0,science,integer,333
M_S39,0,science,integer,333
M_S17,0,science,integer,333
M_S40,0,science,integer,333
M_S18,0,science,integer,416
M_S41,0,science,integer,416
M_S19,0,science,integer,416
M_S42,0,science,integer,416
M_S20,0,science,integer,499
M_S43,0,science,integer,500
L_S01,0,science,integer,4
L_S21,0,science,integer,4
L_S02,0,science,integer,4
L_S22,0,science,integer,4
L_S03,0,science,integer,5
L_S23,0,science,integer,5
L_S04,0,science,integer,5
L_S24,0,science,integer,5
L_S05,0,science,integer,6
L_S25,0,science,integer,6
L_S06,0,science,integer,18
L_S26,0,science,integer,18
L_S07,0,science,integer,18
L_S27,0,science,integer,18
L_S08,0,science,integer,22
L_S28,0,science,integer,22
L_S09,0,science,integer,22
L_S29,0,science,integer,22
L_S10,0,science,integer,26
L_S30,0,science,integer,27
L_S11,0,science,integer,77
L_S31,0,science,integer,77
L_S12,0,science,integer,77
L_S32,0,science,integer,77
L_S13,0,science,integer,96
L_S33,0,science,integer,96
L_S14,0,science,integer,96
L_S34,0,science,integer,96
L_S15,0,science,integer,115
L_S35,0,science,integer,116
L_S16,0,science,integer,333
L_S36,0,science,integer,333
L_S17,0,science,integer,333
L_S37,0,science,integer,333
L_S18,0,science,integer,416
L_S38,0,science,integer,416
L_S19,0,science,integer,416
L_S39,0,science,integer,416
L_S20,0,science,integer,499
L_S40,0,science,integer,500
I_S01,0,science,integer,4
I_S21,0,science,integer,4
I_S02,0,science,integer,4
I_S22,0,science,integer,4
I_S03,0,science,integer,5
I_S23,0,science,integer,5
I_S04,0,science,integer,5
I_S24,0,science,integer,5
I_S05,0,science,integer,6
I_S25,0,science,integer,6
I_S06,0,science,integer,18
I_S26,0,science,integer,18
I_S07,0,science,integer,18
I_S27,0,science,integer,18
I_S08,0,science,integer,22
I_S28,0,science,integer,22
I_S09,0,science,integer,22
I_S29,0,science,integer,22
I_S10,0,science,integer,26
I_S30,0,science,integer,27
I_S11,0,science,integer,77
I_S31,0,science,integer,77
I_S12,0,science,integer,77
I_S32,0,science,integer,77
I_S13,0,science,integer,96
I_S33,0,science,integer,96
I_S14,0,science,integer,96
I_S34,0,science,integer,96
I_S15,0,science,integer,115
I_S35,0,science,integer,116
I_S16,0,science,integer,333
I_S36,0,science,integer,333
I_S17,0,science,integer,333
I_S37,0,science,integer,333
I_S18,0,science,integer,416
I_S38,0,science,integer,416
I_S19,0,science,integer,416
I_S39,0,science,integer,416
I_S20,0,science,integer,499
I_S40,0,science,integer,500
D_S01,0,science,integer,4
D_S21,0,science,integer,4
D_S02,0,science,integer,4
D_S22,0,science,integer,4
D_S03,0,science,integer,5
D_S23,0,science,integer,5
D_S04,0,science,integer,5
D_S24,0,science,integer,5
D_S05,0,science,integer,6
D_S25,0,science,integer,6
D_S06,0,science,integer,18
D_S26,0,science,integer,18
D_S07,0,science,integer,18
D_S27,0,science,integer,18
D_S08,0,science,integer,22
D_S28,0,science,integer,22
D_S09,0,science,integer,22
D_S29,0,science,integer,22
D_S10,0,science,integer,26
D_S30,0,science,integer,27
D_S11,0,science,integer,77
D_S31,0,science,integer,77
D_S12,0,science,integer,77
D_S32,0,science,integer,77
D_S13,0,science,integer,96
D_S33,0,science,integer,96
D_S14,0,science,integer,96
D_S34,0,science,integer,96
D_S15,0,science,integer,115
D_S35,0,science,integer,116
D_S16,0,science,integer,333
D_S36,0,science,integer,333
D_S17,0,science,integer,333
D_S37,0,science,integer,333
D_S18,0,science,integer,416
D_S38,0,science,integer,416
D_S19,0,science,integer,416
D_S39,0,science,integer,416
D_S20,0,science,integer,499
D_S40,0,science,integer,500
C_S01,0,science,integer,4
C_S21,0,science,integer,4
C_S02,0,science,integer,4
C_S22,0,science,integer,4
C_S03,0,science,integer,5
C_S23,0,science,integer,5
C_S04,0,science,integer,5
C_S24,0,science,integer,5
C_S05,0,science,integer,6
C_S25,0,science,integer,6
C_S06,0,science,integer,18
C_S26,0,science,integer,18
C_S07,0,science,integer,18
C_S27,0,science,integer,18
C_S08,0,science,integer,22
C_S28,0,science,integer,22
C_S09,0,science,integer,22
C_S29,0,science,integer,22
C_S10,0,science,integer,26
C_S30,0,science,integer,27
C_S11,0,science,integer,77
C_S31,0,science,integer,77
C_S12,0,science,integer,77
C_S32,0,science,integer,77
C_S13,0,science,integer,96
C_S33,0,science,integer,96
C_S14,0,science,integer,96
C_S34,0,science,integer,96
C_S15,0,science,integer,115
C_S35,0,science,integer,116
C_S16,0,science,integer,333
C_S36,0,science,integer,333
C_S17,0,science,integer,333
