parent_id,position,type,value
K_S01,0,number,-89.482061477
K_S01,1,number,-200.980000681
K_S21,0,number,-123.647939495
K_S21,1,number,-277.717819123
K_S02,0,number,-45.740571980
K_S02,1,number,-215.192472161
K_S22,0,number,-63.205154009
K_S22,1,number,-297.356870623
K_S03,0,number,0.000000000
K_S03,1,number,-220.000000000
K_S23,0,number,0.000000000
K_S23,1,number,-304.000000000
K_S04,0,number,45.740571980
K_S04,1,number,-215.192472161
K_S24,0,number,63.205154009
K_S24,1,number,-297.356870623
K_S05,0,number,89.482061477
K_S05,1,number,-200.980000681
K_S25,0,number,123.647939495
K_S25,1,number,-277.717819123
K_S06,0,number,-157.813817513
K_S06,1,number,-354.455637565
K_S26,0,number,-191.979695532
K_S26,1,number,-431.193456007
K_S07,0,number,-80.669736037
K_S07,1,number,-379.521269085
K_S27,0,number,-98.134318066
K_S27,1,number,-461.685667546
K_S08,0,number,0.000000000
K_S08,1,number,-388.000000000
K_S28,0,number,0.000000000
K_S28,1,number,-472.000000000
K_S09,0,number,80.669736037
K_S09,1,number,-379.521269085
K_S29,0,number,98.134318066
K_S29,1,number,-461.685667546
K_S10,0,number,157.813817513
K_S10,1,number,-354.455637565
K_S30,0,number,191.979695532
K_S30,1,number,-431.193456007
K_S11,0,number,-226.145573550
K_S11,1,number,-507.931274449
K_S31,0,number,-260.311451569
K_S31,1,number,-584.669092891
K_S12,0,number,-115.598900095
K_S12,1,number,-543.850066008
K_S32,0,number,-133.063482123
K_S32,1,number,-626.014464470
K_S13,0,number,0.000000000
K_S13,1,number,-556.000000000
K_S33,0,number,0.000000000
K_S33,1,number,-640.000000000
K_S14,0,number,115.598900095
K_S14,1,number,-543.850066008
K_S34,0,number,133.063482123
K_S34,1,number,-626.014464470
K_S15,0,number,226.145573550
K_S15,1,number,-507.931274449
K_S35,0,number,260.311451569
K_S35,1,number,-584.669092891
K_S16,0,number,-294.477329587
K_S16,1,number,-661.406911333
K_S36,0,number,-328.643207605
K_S36,1,number,-738.144729775
K_S17,0,number,-150.528064152
K_S17,1,number,-708.178862931
K_S37,0,number,-167.992646181
K_S37,1,number,-790.343261393
K_S18,0,number,0.000000000
K_S18,1,number,-724.000000000
K_S38,0,number,0.000000000
K_S38,1,number,-808.000000000
K_S19,0,number,150.528064152
K_S19,1,number,-708.178862931
K_S39,0,number,167.992646181
K_S39,1,number,-790.343261393
K_S20,0,number,294.477329587
K_S20,1,number,-661.406911333
K_S40,0,number,328.643207605
K_S40,1,number,-738.144729775
M_S01,0,number,277.434639082
M_S01,1,number,-381.856021345
M_S24,0,number,326.808600275
M_S24,1,number,-449.813448872
M_S02,0,number,350.764357625
M_S02,1,number,-315.829646201
M_S25,0,number,413.188522965
M_S25,1,number,-372.036617136
M_S03,0,number,408.763990586
M_S03,1,number,-236.000000000
M_S26,0,number,481.510124504
M_S26,1,number,-278.000000000
M_S04,0,number,448.898675691
M_S04,1,number,-145.856021345
M_S27,0,number,528.787423060
M_S27,1,number,-171.813448872
M_S05,0,number,469.414334614
M_S05,1,number,-49.337434662
M_S28,0,number,552.954173825
M_S28,1,number,-58.117825577
M_S06,0,number,376.182561467
M_S06,1,number,-517.770876400
M_S29,0,number,425.556522660
M_S29,1,number,-585.728303927
M_S07,0,number,475.612688306
M_S07,1,number,-428.243588070
M_S30,0,number,538.036853646
M_S30,1,number,-484.450559004
M_S08,0,number,554.256258422
M_S08,1,number,-320.000000000
M_S31,0,number,627.002392340
M_S31,1,number,-362.000000000
M_S09,0,number,608.676170429
M_S09,1,number,-197.770876400
M_S32,0,number,688.564917798
M_S32,1,number,-223.728303927
M_S10,0,number,636.494013036
M_S10,1,number,-66.898216491
M_S33,0,number,720.033852247
M_S33,1,number,-75.678607406
M_S11,0,number,474.930483852
M_S11,1,number,-653.685731455
M_S34,0,number,524.304445045
M_S34,1,number,-721.643158982
M_S12,0,number,600.461018986
M_S12,1,number,-540.657529938
M_S35,0,number,662.885184326
M_S35,1,number,-596.864500872
M_S13,0,number,699.748526258
M_S13,1,number,-404.000000000
M_S36,0,number,772.494660176
M_S36,1,number,-446.000000000
M_S14,0,number,768.453665166
M_S14,1,number,-249.685731455
M_S37,0,number,848.342412535
M_S37,1,number,-275.643158982
M_S15,0,number,803.573691458
M_S15,1,number,-84.458998320
M_S38,0,number,887.113530668
M_S38,1,number,-93.239389235
M_S16,0,number,573.678406237
M_S16,1,number,-789.600586510
M_S39,0,number,623.052367430
M_S39,1,number,-857.558014037
M_S17,0,number,725.309349666
M_S17,1,number,-653.071471806
M_S40,0,number,787.733515006
M_S40,1,number,-709.278442740
M_S18,0,number,845.240794094
M_S18,1,number,-488.000000000
M_S41,0,number,917.986928012
M_S41,1,number,-530.000000000
M_S19,0,number,928.231159904
M_S19,1,number,-301.600586510
M_S42,0,number,1008.119907273
M_S42,1,number,-327.558014037
M_S20,0,number,970.653369879
M_S20,1,number,-102.019780149
M_S43,0,number,1054.193209090
M_S43,1,number,-110.800171064
L_S01,0,number,552.954173825
L_S01,1,number,58.117825577
L_S21,0,number,636.494013036
L_S21,1,number,66.898216491
L_S02,0,number,528.787423060
L_S02,1,number,171.813448872
L_S22,0,number,608.676170429
L_S22,1,number,197.770876400
L_S03,0,number,481.510124504
L_S03,1,number,278.000000000
L_S23,0,number,554.256258422
L_S23,1,number,320.000000000
L_S04,0,number,413.188522965
L_S04,1,number,372.036617136
L_S24,0,number,475.612688306
L_S24,1,number,428.243588070
L_S05,0,number,326.808600275
L_S05,1,number,449.813448872
L_S25,0,number,376.182561467
L_S25,1,number,517.770876400
L_S06,0,number,720.033852247
L_S06,1,number,75.678607406
L_S26,0,number,803.573691458
L_S26,1,number,84.458998320
L_S07,0,number,688.564917798
L_S07,1,number,223.728303927
L_S27,0,number,768.453665166
L_S27,1,number,249.685731455
L_S08,0,number,627.002392340
L_S08,1,number,362.000000000
L_S28,0,number,699.748526258
L_S28,1,number,404.000000000
L_S09,0,number,538.036853646
L_S09,1,number,484.450559004
L_S29,0,number,600.461018986
L_S29,1,number,540.657529938
L_S10,0,number,425.556522660
L_S10,1,number,585.728303927
L_S30,0,number,474.930483852
L_S30,1,number,653.685731455
L_S11,0,number,887.113530668
L_S11,1,number,93.239389235
L_S31,0,number,970.653369879
L_S31,1,number,102.019780149
L_S12,0,number,848.342412535
L_S12,1,number,275.643158982
L_S32,0,number,928.231159904
L_S32,1,number,301.600586510
L_S13,0,number,772.494660176
L_S13,1,number,446.000000000
L_S33,0,number,845.240794094
L_S33,1,number,488.000000000
L_S14,0,number,662.885184326
L_S14,1,number,596.864500872
L_S34,0,number,725.309349666
L_S34,1,number,653.071471806
L_S15,0,number,524.304445045
L_S15,1,number,721.643158982
L_S35,0,number,573.678406237
L_S35,1,number,789.600586510
L_S16,0,number,1054.193209090
L_S16,1,number,110.800171064
L_S36,0,number,1137.733048301
L_S36,1,number,119.580561978
L_S17,0,number,1008.119907273
L_S17,1,number,327.558014037
L_S37,0,number,1088.008654642
L_S37,1,number,353.515441565
L_S18,0,number,917.986928012
L_S18,1,number,530.000000000
L_S38,0,number,990.733061929
L_S38,1,number,572.000000000
L_S19,0,number,787.733515006
L_S19,1,number,709.278442740
L_S39,0,number,850.157680346
L_S39,1,number,765.485413675
L_S20,0,number,623.052367430
L_S20,1,number,857.558014037
L_S40,0,number,672.426328623
L_S40,1,number,925.515441565
I_S01,0,number,89.482061477
I_S01,1,number,200.980000681
I_S21,0,number,123.647939495
I_S21,1,number,277.717819123
I_S02,0,number,45.740571980
I_S02,1,number,215.192472161
I_S22,0,number,63.205154009
I_S22,1,number,297.356870623
I_S03,0,number,0.000000000
I_S03,1,number,220.000000000
I_S23,0,number,0.000000000
I_S23,1,number,304.000000000
I_S04,0,number,-45.740571980
I_S04,1,number,215.192472161
I_S24,0,number,-63.205154009
I_S24,1,number,297.356870623
I_S05,0,number,-89.482061477
I_S05,1,number,200.980000681
I_S25,0,number,-123.647939495
I_S25,1,number,277.717819123
I_S06,0,number,157.813817513
I_S06,1,number,354.455637565
I_S26,0,number,191.979695532
I_S26,1,number,431.193456007
I_S07,0,number,80.669736037
I_S07,1,number,379.521269085
I_S27,0,number,98.134318066
I_S27,1,number,461.685667546
I_S08,0,number,0.000000000
I_S08,1,number,388.000000000
I_S28,0,number,0.000000000
I_S28,1,number,472.000000000
I_S09,0,number,-80.669736037
I_S09,1,number,379.521269085
I_S29,0,number,-98.134318066
I_S29,1,number,461.685667546
I_S10,0,number,-157.813817513
I_S10,1,number,354.455637565
I_S30,0,number,-191.979695532
I_S30,1,number,431.193456007
I_S11,0,number,226.145573550
I_S11,1,number,507.931274449
I_S31,0,number,260.311451569
I_S31,1,number,584.669092891
I_S12,0,number,115.598900095
I_S12,1,number,543.850066008
I_S32,0,number,133.063482123
I_S32,1,number,626.014464470
I_S13,0,number,0.000000000
I_S13,1,number,556.000000000
I_S33,0,number,0.000000000
I_S33,1,number,640.000000000
I_S14,0,number,-115.598900095
I_S14,1,number,543.850066008
I_S34,0,number,-133.063482123
I_S34,1,number,626.014464470
I_S15,0,number,-226.145573550
I_S15,1,number,507.931274449
I_S35,0,number,-260.311451569
I_S35,1,number,584.669092891
I_S16,0,number,294.477329587
