parent_id,position,type,value
K_S21,0,string,K_S01
K_S22,0,string,K_S02
K_S23,0,string,K_S03
K_S24,0,string,K_S04
K_S25,0,string,K_S05
K_S06,0,string,K_S21
K_S26,0,string,K_S06
K_S07,0,string,K_S22
K_S27,0,string,K_S07
K_S08,0,string,K_S23
K_S28,0,string,K_S08
K_S09,0,string,K_S24
K_S29,0,string,K_S09
K_S10,0,string,K_S25
K_S30,0,string,K_S10
K_S11,0,string,K_S26
K_S31,0,string,K_S11
K_S12,0,string,K_S27
K_S32,0,string,K_S12
K_S13,0,string,K_S28
K_S33,0,string,K_S13
K_S14,0,string,K_S29
K_S34,0,string,K_S14
K_S15,0,string,K_S30
K_S35,0,string,K_S15
K_S16,0,string,K_S31
K_S36,0,string,K_S16
K_S17,0,string,K_S32
K_S37,0,string,K_S17
K_S18,0,string,K_S33
K_S38,0,string,K_S18
K_S19,0,string,K_S34
K_S39,0,string,K_S19
K_S20,0,string,K_S35
K_S40,0,string,K_S20
M_S01,0,string,M_N1
M_S24,0,string,M_S01
M_S02,0,string,M_N1
M_S25,0,string,M_S02
M_S03,0,string,M_N1
M_S26,0,string,M_S03
M_S04,0,string,M_N1
M_S27,0,string,M_S04
M_S05,0,string,M_N1
M_S28,0,string,M_S05
M_S06,0,string,M_S24
M_S29,0,string,M_S06
M_S07,0,string,M_S25
M_S30,0,string,M_S07
M_S08,0,string,M_S26
M_S31,0,string,M_S08
M_S09,0,string,M_S27
M_S32,0,string,M_S09
M_S10,0,string,M_S28
M_S33,0,string,M_S10
M_S11,0,string,M_S29
M_S34,0,string,M_S11
M_S12,0,string,M_S30
M_S35,0,string,M_S12
M_S13,0,string,M_S31
M_S36,0,string,M_S13
M_S14,0,string,M_S32
M_S37,0,string,M_S14
M_S15,0,string,M_S33
M_S38,0,string,M_S15
M_S16,0,string,M_S34
M_S39,0,string,M_S16
M_S17,0,string,M_S35
M_S40,0,string,M_S17
M_S18,0,string,M_S36
M_S41,0,string,M_S18
M_S19,0,string,M_S37
M_S42,0,string,M_S19
M_S20,0,string,M_S38
M_S43,0,string,M_S20
L_S01,0,string,L_N1
L_S21,0,string,L_S01
L_S02,0,string,L_N1
L_S22,0,string,L_S02
L_S03,0,string,L_N1
L_S23,0,string,L_S03
L_S04,0,string,L_N1
L_S24,0,string,L_S04
L_S05,0,string,L_N1
L_S25,0,string,L_S05
L_S06,0,string,L_S21
L_S26,0,string,L_S06
L_S07,0,string,L_S22
L_S27,0,string,L_S07
L_S08,0,string,L_S23
L_S28,0,string,L_S08
L_S09,0,string,L_S24
L_S29,0,string,L_S09
L_S10,0,string,L_S25
L_S30,0,string,L_S10
L_S11,0,string,L_S26
L_S31,0,string,L_S11
L_S12,0,string,L_S27
L_S32,0,string,L_S12
L_S13,0,string,L_S28
L_S33,0,string,L_S13
L_S14,0,string,L_S29
L_S34,0,string,L_S14
L_S15,0,string,L_S30
L_S35,0,string,L_S15
L_S16,0,string,L_S31
L_S36,0,string,L_S16
L_S17,0,string,L_S32
L_S37,0,string,L_S17
L_S18,0,string,L_S33
L_S38,0,string,L_S18
L_S19,0,string,L_S34
L_S39,0,string,L_S19
L_S20,0,string,L_S35
L_S40,0,string,L_S20
I_S21,0,string,I_S01
I_S22,0,string,I_S02
I_S23,0,string,I_S03
I_S24,0,string,I_S04
I_S25,0,string,I_S05
I_S06,0,string,I_S21
I_S26,0,string,I_S06
I_S07,0,string,I_S22
I_S27,0,string,I_S07
I_S08,0,string,I_S23
I_S28,0,string,I_S08
I_S09,0,string,I_S24
I_S29,0,string,I_S09
I_S10,0,string,I_S25
I_S30,0,string,I_S10
I_S11,0,string,I_S26
I_S31,0,string,I_S11
I_S12,0,string,I_S27
I_S32,0,string,I_S12
I_S13,0,string,I_S28
I_S33,0,string,I_S13
I_S14,0,string,I_S29
I_S34,0,string,I_S14
I_S15,0,string,I_S30
I_S35,0,string,I_S15
I_S16,0,string,I_S31
I_S36,0,string,I_S16
I_S17,0,string,I_S32
I_S37,0,string,I_S17
I_S18,0,string,I_S33
I_S38,0,string,I_S18
I_S19,0,string,I_S34
I_S39,0,string,I_S19
I_S20,0,string,I_S35
I_S40,0,string,I_S20
D_S21,0,string,D_S01
D_S22,0,string,D_S02
D_S23,0,string,D_S03
D_S24,0,string,D_S04
D_S25,0,string,D_S05
D_S06,0,string,D_S21
D_S26,0,string,D_S06
D_S07,0,string,D_S22
D_S27,0,string,D_S07
D_S08,0,string,D_S23
D_S28,0,string,D_S08
D_S09,0,string,D_S24
D_S29,0,string,D_S09
D_S10,0,string,D_S25
D_S30,0,string,D_S10
D_S11,0,string,D_S26
D_S31,0,string,D_S11
D_S12,0,string,D_S27
D_S32,0,string,D_S12
D_S13,0,string,D_S28
D_S33,0,string,D_S13
D_S14,0,string,D_S29
D_S34,0,string,D_S14
D_S15,0,string,D_S30
D_S35,0,string,D_S15
D_S16,0,string,D_S31
D_S36,0,string,D_S16
D_S17,0,string,D_S32
D_S37,0,string,D_S17
D_S18,0,string,D_S33
D_S38,0,string,D_S18
D_S19,0,string,D_S34
D_S39,0,string,D_S19
D_S20,0,string,D_S35
D_S40,0,string,D_S20
C_S21,0,string,C_S01
C_S22,0,string,C_S02
C_S23,0,string,C_S03
C_S24,0,string,C_S04
C_S25,0,string,C_S05
C_S06,0,string,C_S21
C_S26,0,string,C_S06
C_S07,0,string,C_S22
C_S27,0,string,C_S07
C_S08,0,string,C_S23
C_S28,0,string,C_S08
C_S09,0,string,C_S24
C_S29,0,string,C_S09
C_S10,0,string,C_S25
C_S30,0,string,C_S10
C_S11,0,string,C_S26
C_S31,0,string,C_S11
C_S12,0,string,C_S27
C_S32,0,string,C_S12
C_S13,0,string,C_S28
C_S33,0,string,C_S13
C_S14,0,string,C_S29
C_S34,0,string,C_S14
C_S15,0,string,C_S30
C_S35,0,string,C_S15
C_S16,0,string,C_S31
C_S36,0,string,C_S16
C_S17,0,string,C_S32
C_S37,0,string,C_S17
C_S18,0,string,C_S33
C_S38,0,string,C_S18
C_S19,0,string,C_S34
C_S39,0,string,C_S19
C_S20,0,string,C_S35
C_S40,0,string,C_S20
K_N1,0,string,K_S21
K_N1,1,string,K_S22
K_N2,0,string,K_N1
K_N2,1,string,K_S26
K_N3,0,string,K_N2
K_N3,1,string,K_S31
K_A1,0,string,K_S21
K_A2,0,string,K_A1
K_A2,1,string,K_S26
K_A3,0,string,K_A2
K_A3,1,string,K_S31
K_G1,0,string,K_N1
K_G1,1,string,K_A1
K_G1,2,string,K_S26
K_G2,0,string,K_G1
K_G2,1,string,K_A3
K_G2,2,string,K_S36
M_N1,0,string,K_S21
M_N2,0,string,M_N1
M_N2,1,string,M_S29
M_N3,0,string,M_N2
M_N3,1,string,M_S34
M_A1,0,string,M_S24
M_A2,0,string,M_A1
M_A2,1,string,M_S29
M_A3,0,string,M_A2
M_A3,1,string,M_S34
M_G1,0,string,M_N1
M_G1,1,string,M_A1
M_G1,2,string,M_S29
M_G2,0,string,M_G1
M_G2,1,string,M_A3
M_G2,2,string,M_S39
