parent_id,position,attribute,type,value
K_S01,0,kinetic_damage_bonus,number,0.04
K_S21,0,kinetic_damage_bonus,number,0.04
K_S02,0,kinetic_fire_rate_bonus,number,0.02
K_S22,0,kinetic_fire_rate_bonus,number,0.02
K_S04,0,kinetic_light_damage_bonus,number,0.03
K_S24,0,kinetic_light_damage_bonus,number,0.03
K_S05,0,kinetic_range_bonus,number,0.02
K_S25,0,kinetic_range_bonus,number,0.02
K_S06,0,kinetic_damage_bonus,number,0.06
K_S26,0,kinetic_damage_bonus,number,0.06
K_S07,0,kinetic_fire_rate_bonus,number,0.03
K_S27,0,kinetic_fire_rate_bonus,number,0.03
K_S09,0,kinetic_light_damage_bonus,number,0.045
K_S29,0,kinetic_light_damage_bonus,number,0.045
K_S10,0,kinetic_range_bonus,number,0.03
K_S30,0,kinetic_range_bonus,number,0.03
K_S11,0,kinetic_damage_bonus,number,0.08
K_S31,0,kinetic_damage_bonus,number,0.08
K_S12,0,kinetic_fire_rate_bonus,number,0.04
K_S32,0,kinetic_fire_rate_bonus,number,0.04
K_S14,0,kinetic_light_damage_bonus,number,0.06
K_S34,0,kinetic_light_damage_bonus,number,0.06
K_S15,0,kinetic_range_bonus,number,0.04
K_S35,0,kinetic_range_bonus,number,0.04
K_S16,0,kinetic_damage_bonus,number,0.12
K_S36,0,kinetic_damage_bonus,number,0.12
K_S17,0,kinetic_fire_rate_bonus,number,0.06
K_S37,0,kinetic_fire_rate_bonus,number,0.06
K_S19,0,kinetic_light_damage_bonus,number,0.09
K_S39,0,kinetic_light_damage_bonus,number,0.09
K_S20,0,kinetic_range_bonus,number,0.06
K_S40,0,kinetic_range_bonus,number,0.06
M_S01,0,missile_damage_bonus,number,0.04
M_S24,0,missile_damage_bonus,number,0.04
M_S02,0,missile_fire_rate_bonus,number,0.02
M_S25,0,missile_fire_rate_bonus,number,0.02
M_S03,0,missile_blast_radius_bonus,number,0.02
M_S26,0,missile_blast_radius_bonus,number,0.02
M_S04,0,missile_blast_damage_bonus,number,0.02
M_S27,0,missile_blast_damage_bonus,number,0.02
M_S05,0,missile_speed_bonus,number,0.04
M_S28,0,missile_speed_bonus,number,0.04
M_S06,0,missile_damage_bonus,number,0.06
M_S29,0,missile_damage_bonus,number,0.06
M_S07,0,missile_fire_rate_bonus,number,0.03
M_S30,0,missile_fire_rate_bonus,number,0.03
M_S09,0,missile_blast_damage_bonus,number,0.03
M_S32,0,missile_blast_damage_bonus,number,0.03
M_S11,0,missile_damage_bonus,number,0.08
M_S34,0,missile_damage_bonus,number,0.08
M_S12,0,missile_fire_rate_bonus,number,0.04
M_S35,0,missile_fire_rate_bonus,number,0.04
M_S13,0,missile_blast_radius_bonus,number,0.04
M_S36,0,missile_blast_radius_bonus,number,0.04
M_S14,0,missile_blast_damage_bonus,number,0.04
M_S37,0,missile_blast_damage_bonus,number,0.04
M_S15,0,missile_speed_bonus,number,0.08
M_S38,0,missile_speed_bonus,number,0.08
M_S16,0,missile_damage_bonus,number,0.12
M_S39,0,missile_damage_bonus,number,0.12
M_S17,0,missile_fire_rate_bonus,number,0.06
M_S40,0,missile_fire_rate_bonus,number,0.06
M_S18,0,missile_blast_radius_bonus,number,0.06
M_S41,0,missile_blast_radius_bonus,number,0.06
M_S19,0,missile_blast_damage_bonus,number,0.06
M_S42,0,missile_blast_damage_bonus,number,0.06
M_S20,0,missile_speed_bonus,number,0.12
M_S43,0,missile_speed_bonus,number,0.12
L_S01,0,laser_damage_bonus,number,0.04
L_S21,0,laser_damage_bonus,number,0.04
L_S02,0,laser_fire_rate_bonus,number,0.02
L_S22,0,laser_fire_rate_bonus,number,0.02
L_S03,0,laser_range_bonus,number,0.02
L_S23,0,laser_range_bonus,number,0.02
L_S06,0,laser_damage_bonus,number,0.06
L_S26,0,laser_damage_bonus,number,0.06
L_S07,0,laser_fire_rate_bonus,number,0.03
L_S27,0,laser_fire_rate_bonus,number,0.03
L_S08,0,laser_range_bonus,number,0.03
L_S28,0,laser_range_bonus,number,0.03
L_S11,0,laser_damage_bonus,number,0.08
L_S31,0,laser_damage_bonus,number,0.08
L_S12,0,laser_fire_rate_bonus,number,0.04
L_S32,0,laser_fire_rate_bonus,number,0.04
L_S13,0,laser_range_bonus,number,0.04
L_S33,0,laser_range_bonus,number,0.04
L_S16,0,laser_damage_bonus,number,0.12
L_S36,0,laser_damage_bonus,number,0.12
L_S17,0,laser_fire_rate_bonus,number,0.06
L_S37,0,laser_fire_rate_bonus,number,0.06
L_S18,0,laser_range_bonus,number,0.06
L_S38,0,laser_range_bonus,number,0.06
I_S01,0,mineral_output_bonus,number,0.04
I_S21,0,mineral_output_bonus,number,0.04
I_S02,0,energy_output_bonus,number,0.04
I_S22,0,energy_output_bonus,number,0.04
I_S03,0,science_output_bonus,number,0.05
I_S23,0,science_output_bonus,number,0.05
I_S05,0,production_speed_bonus,number,0.025
I_S25,0,production_speed_bonus,number,0.025
I_S06,0,mineral_output_bonus,number,0.06
I_S26,0,mineral_output_bonus,number,0.06
I_S07,0,energy_output_bonus,number,0.06
I_S27,0,energy_output_bonus,number,0.06
I_S08,0,science_output_bonus,number,0.075
I_S28,0,science_output_bonus,number,0.075
I_S10,0,production_speed_bonus,number,0.0375
I_S30,0,production_speed_bonus,number,0.0375
I_S11,0,mineral_output_bonus,number,0.08
I_S31,0,mineral_output_bonus,number,0.08
I_S12,0,energy_output_bonus,number,0.08
I_S32,0,energy_output_bonus,number,0.08
I_S13,0,science_output_bonus,number,0.1
I_S33,0,science_output_bonus,number,0.1
I_S15,0,production_speed_bonus,number,0.05
I_S35,0,production_speed_bonus,number,0.05
I_S16,0,mineral_output_bonus,number,0.12
I_S36,0,mineral_output_bonus,number,0.12
I_S17,0,energy_output_bonus,number,0.12
I_S37,0,energy_output_bonus,number,0.12
I_S18,0,science_output_bonus,number,0.15
I_S38,0,science_output_bonus,number,0.15
I_S20,0,production_speed_bonus,number,0.075
I_S40,0,production_speed_bonus,number,0.075
D_S01,0,health_bonus,number,0.04
D_S21,0,health_bonus,number,0.04
D_S02,0,earth_shield_bonus,number,0.04
D_S22,0,earth_shield_bonus,number,0.04
D_S03,0,repair_speed_bonus,number,0.04
D_S23,0,repair_speed_bonus,number,0.04
