key,value,minimum,maximum,unit,description
initial_minerals,320,0,1000000000000.0,scalar,initial minerals
initial_energy,180,0,1000000000000.0,scalar,initial energy
initial_science,0,0,1000000000000.0,scalar,initial science
earth_max_health,100,0,1000000000000.0,scalar,earth max health
death_blast_damage,35,0,1000000000000.0,scalar,death blast damage
death_blast_radius,0.55,0,1000000000000.0,scalar,death blast radius
mineral_output_base,5,0,1000000000000.0,scalar,mineral output base
energy_output_base,4,0,1000000000000.0,scalar,energy output base
science_output_base,0.8,0,1000000000000.0,scalar,orbital research station science output base
shield_capacity_base,200,0,1000000000000.0,scalar,shield capacity base
shield_regeneration_base,1.6,0,1000000000000.0,scalar,shield regeneration base
building_cost_per_existing,0.3,0,1000000000000.0,scalar,building cost per existing
building_cost_late_factor,0.08,0,1000000000000.0,scalar,building cost late factor
building_cost_late_start,12,0,1000000000000.0,scalar,building cost late start
building_cost_late_power,1.18,0,1000000000000.0,scalar,building cost late power
wave_minerals_base,45,0,1000000000000.0,scalar,wave minerals base
wave_minerals_increment,8,0,1000000000000.0,scalar,wave minerals increment
wave_energy_base,25,0,1000000000000.0,scalar,wave energy base
wave_energy_increment,4,0,1000000000000.0,scalar,wave energy increment
wave_science_base,0,0,1000000000000.0,scalar,wave science base
wave_science_increment,0,0,1000000000000.0,scalar,wave science increment
wave_score_base,100,0,1000000000000.0,scalar,wave score base
wave_score_increment,20,0,1000000000000.0,scalar,wave score increment
wave_shield_budget,20,0,1000000000000.0,scalar,wave shield budget
resource_core_drop_chance,0.005,0,1,probability,ordinary aircraft resource core pickup chance
alien_point_drop_chance,0.0025,0,1,probability,ordinary aircraft alien technology point pickup chance
laser_intel_wave,10,0,1000000000000.0,scalar,laser intel wave
kinetic_fire_rate_base,2,0,1000000000000.0,scalar,kinetic fire rate base
laser_fire_rate_base,1.25,0,1000000000000.0,scalar,laser fire rate base
missile_fire_rate_base,0.6,0,1000000000000.0,scalar,missile fire rate base
kinetic_projectile_speed_base,630,0,1000000000000.0,scalar,kinetic projectile speed base
missile_blast_radius_base,0.22,0,1000000000000.0,scalar,missile blast radius base
missile_turn_rate_base,3.5,0,1000000000000.0,scalar,missile turn rate base
drone_armor_cap,0.75,0,1000000000000.0,scalar,drone armor cap
repair_threshold_base,0.35,0,1000000000000.0,scalar,repair threshold base
repair_threshold_cap,0.75,0,1000000000000.0,scalar,repair threshold cap
repair_rate_base,0.12,0,1000000000000.0,scalar,repair rate base
tactical_turn_rate_base,4.2,0,1000000000000.0,scalar,tactical turn rate base
factory_spawn_interval_min,0.5,0,1000000000000.0,scalar,factory spawn interval min
resource_core_reference_fraction,0.05,0,1,ratio,original resource core reference fraction
