parent_id,position,currency,type,value
starship_silo,0,minerals,number,18000.0
starship_silo,1,energy,number,12000.0
starship_silo,2,science,number,4000.0
mine,0,minerals,number,85.0
mine,1,energy,number,25.0
solar,0,minerals,number,70.0
solar,1,energy,number,20.0
lab,0,minerals,number,110.0
lab,1,energy,number,65.0
interceptor,0,minerals,number,100.0
interceptor,1,energy,number,45.0
laser,0,minerals,number,480.0
laser,1,energy,number,360.0
missile,0,minerals,number,240.0
missile,1,energy,number,140.0
