parent_id,position,key,type,value
root,0,enemy_health,number,1.0
root,1,enemy_health,number,1000000.0
root,0,drone_damage,number,1.0
root,1,drone_damage,number,1000000.0
root,0,laser_damage,number,1.0
root,1,laser_damage,number,1000000.0
root,0,missile_damage,number,1.0
root,1,missile_damage,number,1000000.0
root,0,factory_spawn_interval,number,0.5
root,1,factory_spawn_interval,number,120.0
root,0,aircraft_scale,number,0.1
root,1,aircraft_scale,number,2.0
root,0,factory_capacity_multiplier,number,1.0
root,1,factory_capacity_multiplier,number,8.0
root,0,enemy_count_multiplier,number,0.5
root,1,enemy_count_multiplier,number,128.0
root,0,enemy_aircraft_scale,number,0.1
root,1,enemy_aircraft_scale,number,2.0
root,0,enemy_bullet_base_count,number,1.0
root,1,enemy_bullet_base_count,number,32.0
root,0,enemy_bullet_growth_interval,number,1.0
root,1,enemy_bullet_growth_interval,number,3600.0
root,0,enemy_bullet_growth_step,number,0.0
root,1,enemy_bullet_growth_step,number,8.0
root,0,enemy_bullet_max_count,number,1.0
root,1,enemy_bullet_max_count,number,64.0
root,0,enemy_bullet_speed,number,1.0
root,1,enemy_bullet_speed,number,30.0
root,0,enemy_bombard_speed,number,0.5
root,1,enemy_bombard_speed,number,20.0
root,0,resource_core_drop_count,number,0.0
root,1,resource_core_drop_count,number,128.0
root,0,enemy_speed_multiplier,number,0.25
root,1,enemy_speed_multiplier,number,8.0
root,0,resource_output_multiplier,number,0.0
root,1,resource_output_multiplier,number,128.0
root,0,enemy_wave_duration,number,5.0
root,1,enemy_wave_duration,number,600.0
root,0,enemy_spawn_duration,number,1.0
root,1,enemy_spawn_duration,number,600.0
root,0,enemy_health_growth,number,0.0
root,1,enemy_health_growth,number,0.25
root,0,enemy_damage_growth,number,0.0
root,1,enemy_damage_growth,number,0.25
root,0,enemy_wave_base_count,number,1.0
root,1,enemy_wave_base_count,number,1000.0
root,0,enemy_wave_growth,number,0.0
root,1,enemy_wave_growth,number,100.0
root,0,atmosphere_hit_full_percent,number,0.1
root,1,atmosphere_hit_full_percent,number,100.0
root,0,atmosphere_hit_max_strength,number,0.0
root,1,atmosphere_hit_max_strength,number,1.0
root,0,atmosphere_hit_lerp_speed,number,1.0
root,1,atmosphere_hit_lerp_speed,number,30.0
root,0,resource_core_upgrade_percent,number,0.1
root,1,resource_core_upgrade_percent,number,100.0
root,0,factory_starting_capacity_factor,number,0.1
root,1,factory_starting_capacity_factor,number,8.0
root,0,drone_base_damage_multiplier,number,0.05
root,1,drone_base_damage_multiplier,number,128.0
root,0,drone_base_health_multiplier,number,0.05
root,1,drone_base_health_multiplier,number,128.0
root,0,medium_boss_first_wave,number,1.0
root,1,medium_boss_first_wave,number,1000.0
root,0,medium_boss_interval,number,1.0
root,1,medium_boss_interval,number,1000.0
root,0,frontier_radius_1,number,32.0
root,1,frontier_radius_1,number,312.0
root,0,frontier_radius_2,number,32.0
root,1,frontier_radius_2,number,412.0
root,0,frontier_radius_3,number,32.0
root,1,frontier_radius_3,number,512.0
root,0,interceptor_factory_capacity,number,1.0
root,1,interceptor_factory_capacity,number,32.0
root,0,laser_factory_capacity,number,1.0
root,1,laser_factory_capacity,number,32.0
root,0,missile_factory_capacity,number,1.0
root,1,missile_factory_capacity,number,32.0
root,0,patrol_coverage_multiplier,number,0.25
root,1,patrol_coverage_multiplier,number,8.0
root,0,first_wave_enemy_count_multiplier,number,0.25
root,1,first_wave_enemy_count_multiplier,number,1.0
root,0,first_wave_enemy_health_multiplier,number,0.25
root,1,first_wave_enemy_health_multiplier,number,1.0
root,0,first_wave_enemy_damage_multiplier,number,0.25
root,1,first_wave_enemy_damage_multiplier,number,1.0
