parent_id,position,parameter,type,value
root,0,enemy_health,number,29.0
root,1,drone_damage,number,15.0
root,2,laser_damage,number,44.0
root,3,missile_damage,number,70.0
root,4,factory_spawn_interval,number,5.0
root,5,aircraft_scale,number,0.5
root,6,factory_capacity_multiplier,number,2.0
root,7,interceptor_factory_capacity,number,3.0
root,8,laser_factory_capacity,number,2.0
root,9,missile_factory_capacity,number,2.0
root,10,enemy_count_multiplier,number,2.0
root,11,enemy_aircraft_scale,number,0.5
root,12,enemy_bullet_base_count,number,1.0
root,13,enemy_bullet_growth_interval,number,180.0
root,14,enemy_bullet_growth_step,number,1.0
root,15,enemy_bullet_max_count,number,8.0
root,16,enemy_bullet_speed,number,6.0
root,17,enemy_bombard_speed,number,3.2
root,18,enemy_speed_multiplier,number,1.5
root,19,resource_output_multiplier,number,0.1
root,20,enemy_wave_duration,number,60.0
root,21,enemy_spawn_duration,number,45.0
root,22,enemy_health_growth,number,0.025
root,23,enemy_damage_growth,number,0.012
root,24,enemy_wave_base_count,number,6.0
root,25,enemy_wave_growth,number,1.0
root,26,atmosphere_hit_full_percent,number,8.0
root,27,atmosphere_hit_max_strength,number,1.0
root,28,atmosphere_hit_lerp_speed,number,12.0
root,29,resource_core_upgrade_percent,number,5.0
root,30,factory_starting_capacity_factor,number,0.5
root,31,drone_base_damage_multiplier,number,0.65
root,32,drone_base_health_multiplier,number,0.65
root,33,frontier_radius_1,number,56.0
root,34,frontier_radius_2,number,88.0
root,35,frontier_radius_3,number,128.0
root,36,patrol_coverage_multiplier,number,2.0
root,37,first_wave_enemy_count_multiplier,number,0.75
root,38,first_wave_enemy_health_multiplier,number,0.85
root,39,first_wave_enemy_damage_multiplier,number,0.75
