parent_id,position,currency,type,value
mining,0,minerals,integer,75
mining,1,science,integer,50
mineral_processing,0,minerals,integer,100
mineral_processing,1,energy,integer,55
mineral_processing,2,science,integer,80
energy_grid,0,minerals,integer,85
energy_grid,1,energy,integer,80
energy_grid,2,science,integer,90
research_methods,0,minerals,integer,170
research_methods,1,energy,integer,130
research_methods,2,science,integer,190
industrial_synergy,0,minerals,integer,300
industrial_synergy,1,energy,integer,220
industrial_synergy,2,science,integer,250
hangar_capacity,0,minerals,integer,650
hangar_capacity,1,energy,integer,370
hangar_capacity,2,science,integer,500
salvage,0,minerals,integer,560
salvage,1,energy,integer,330
salvage,2,science,integer,610
industrial_mastery,0,minerals,integer,1500
industrial_mastery,1,energy,integer,1150
industrial_mastery,2,science,integer,1600
patrol_radius,0,minerals,integer,70
patrol_radius,1,energy,integer,45
patrol_radius,2,science,integer,45
patrol_outer,0,minerals,integer,100
patrol_outer,1,energy,integer,100
patrol_outer,2,science,integer,90
patrol_speed,0,minerals,integer,110
patrol_speed,1,energy,integer,140
patrol_speed,2,science,integer,100
orbit_navigation,0,minerals,integer,250
orbit_navigation,1,energy,integer,290
orbit_navigation,2,science,integer,240
interceptor_drive,0,minerals,integer,240
interceptor_drive,1,energy,integer,320
interceptor_drive,2,science,integer,220
laser_drive,0,minerals,integer,430
laser_drive,1,energy,integer,520
laser_drive,2,science,integer,450
missile_drive,0,minerals,integer,520
missile_drive,1,energy,integer,450
missile_drive,2,science,integer,490
patrol_command,0,minerals,integer,1300
patrol_command,1,energy,integer,1700
patrol_command,2,science,integer,1400
damage,0,minerals,integer,55
damage,1,science,integer,35
rapid,0,energy,integer,45
rapid,1,science,integer,40
spread,0,minerals,integer,240
spread,1,energy,integer,180
spread,2,science,integer,320
kinetic_coils,0,minerals,integer,210
kinetic_coils,1,energy,integer,170
kinetic_coils,2,science,integer,190
ammo_packing,0,minerals,integer,380
ammo_packing,1,energy,integer,240
ammo_packing,2,science,integer,390
fire_control,0,minerals,integer,540
fire_control,1,energy,integer,420
fire_control,2,science,integer,530
projectile_drive,0,minerals,integer,510
projectile_drive,1,energy,integer,470
projectile_drive,2,science,integer,560
kinetic_mastery,0,minerals,integer,1800
kinetic_mastery,1,energy,integer,1100
kinetic_mastery,2,science,integer,1500
laser,0,minerals,integer,95
laser,1,energy,integer,80
laser,2,science,integer,90
laser_focus,0,minerals,integer,180
laser_focus,1,energy,integer,220
laser_focus,2,science,integer,190
laser_capacitors,0,minerals,integer,190
laser_capacitors,1,energy,integer,280
laser_capacitors,2,science,integer,210
laser_cycling,0,minerals,integer,340
laser_cycling,1,energy,integer,470
laser_cycling,2,science,integer,340
laser_arrays,0,minerals,integer,500
laser_arrays,1,energy,integer,580
laser_arrays,2,science,integer,530
laser_range,0,minerals,integer,570
laser_range,1,energy,integer,720
laser_range,2,science,integer,620
laser_cooling,0,minerals,integer,690
laser_cooling,1,energy,integer,740
laser_cooling,2,science,integer,720
photonic_mastery,0,minerals,integer,1600
photonic_mastery,1,energy,integer,2300
photonic_mastery,2,science,integer,1900
missile,0,minerals,integer,140
missile,1,energy,integer,110
missile,2,science,integer,140
warhead,0,minerals,integer,230
warhead,1,energy,integer,180
warhead,2,science,integer,220
missile_feed,0,minerals,integer,210
missile_feed,1,energy,integer,250
missile_feed,2,science,integer,250
missile_salvo,0,minerals,integer,510
missile_salvo,1,energy,integer,410
missile_salvo,2,science,integer,460
missile_engines,0,minerals,integer,430
missile_engines,1,energy,integer,510
missile_engines,2,science,integer,410
missile_blast,0,minerals,integer,780
missile_blast,1,energy,integer,550
missile_blast,2,science,integer,730
missile_guidance,0,minerals,integer,640
missile_guidance,1,energy,integer,720
missile_guidance,2,science,integer,780
missile_mastery,0,minerals,integer,2300
missile_mastery,1,energy,integer,1500
missile_mastery,2,science,integer,2100
death_blast,0,minerals,integer,80
death_blast,1,energy,integer,60
death_blast,2,science,integer,55
shield,0,minerals,integer,60
shield,1,energy,integer,65
shield,2,science,integer,45
drone_armor,0,minerals,integer,110
drone_armor,1,energy,integer,80
drone_armor,2,science,integer,90
shield_regen,0,minerals,integer,100
shield_regen,1,energy,integer,130
shield_regen,2,science,integer,110
field_repair,0,minerals,integer,280
field_repair,1,energy,integer,230
field_repair,2,science,integer,270
repair_protocol,0,minerals,integer,300
repair_protocol,1,energy,integer,260
repair_protocol,2,science,integer,310
factory_automation,0,minerals,integer,700
factory_automation,1,energy,integer,550
factory_automation,2,science,integer,640
combat_logistics,0,minerals,integer,630
combat_logistics,1,energy,integer,640
combat_logistics,2,science,integer,740
defense_network,0,minerals,integer,1700
defense_network,1,energy,integer,1800
defense_network,2,science,integer,1900
alien_navigation,0,minerals,integer,700
alien_navigation,1,energy,integer,650
alien_navigation,2,science,integer,700
alien_kinetic_range,0,minerals,integer,900
alien_kinetic_range,1,energy,integer,680
alien_kinetic_range,2,science,integer,950
alien_laser_range,0,minerals,integer,800
alien_laser_range,1,energy,integer,1100
alien_laser_range,2,science,integer,1000
alien_missile_range,0,minerals,integer,1100
alien_missile_range,1,energy,integer,850
alien_missile_range,2,science,integer,1100
alien_propulsion,0,minerals,integer,1250
alien_propulsion,1,energy,integer,1450
alien_propulsion,2,science,integer,1350
alien_field_support,0,minerals,integer,1400
alien_field_support,1,energy,integer,1100
alien_field_support,2,science,integer,1450
mothership_assault,0,minerals,integer,6000
mothership_assault,1,energy,integer,5200
mothership_assault,2,science,integer,6800
frontier_range_1,0,minerals,integer,12000
frontier_range_1,1,energy,integer,10000
frontier_range_1,2,science,integer,16000
frontier_range_2,0,minerals,integer,40000
frontier_range_2,1,energy,integer,32000
frontier_range_2,2,science,integer,50000
frontier_range_3,0,minerals,integer,120000
frontier_range_3,1,energy,integer,100000
frontier_range_3,2,science,integer,160000
