perk_id,attribute,operation,base,per_level,level_offset,maximum,coefficient_setting,value_type,step,threshold,high
expanded_hangar,capacity_add,floor_step,1,0,1,,expanded_hangar_per_step,integer,5,0,0
assembly,spawn_multiplier,reciprocal,1,0,0,,assembly_per_level,number,1,0,0
targeting,damage_multiplier,linear,1,0,0,,targeting_per_level,number,1,0,0
armor,health_multiplier,linear,1,0,0,,armor_per_level,number,1,0,0
navigation,patrol_multiplier,linear,1,0,0,,navigation_patrol_per_level,number,1,0,0
navigation,speed_multiplier,linear,1,0,0,,navigation_speed_per_level,number,1,0,0
last_stand,death_blast_multiplier,linear,1,0,0,,last_stand_per_level,number,1,0,0
f_kinetic_quality,damage_multiplier,linear,1,0.08,0,,,number,1,0,0
f_kinetic_feed,fire_rate_multiplier,linear,1,0.04,0,,,number,1,0,0
f_kinetic_mobilize,death_spawn_reduction_seconds,linear,0.5,0.05,0,,,number,1,0,0
f_laser_lattice,damage_multiplier,linear,1,0.1,0,,,number,1,0,0
f_laser_focus,big_target_damage_multiplier,linear,1,0.05,0,,,number,1,0,0
f_laser_precharge,launch_damage_multiplier,linear,1.25,0.02,0,,,number,1,0,0
f_laser_precharge,launch_damage_seconds,linear,8,0,0,,,number,1,0,0
f_missile_warhead,damage_multiplier,linear,1,0.11,0,,,number,1,0,0
f_missile_payload,blast_radius_multiplier,linear,1,0.04,0,,,number,1,0,0
f_missile_recycle,kill_spawn_reduction_cooldown,linear,1,0,0,,,number,1,0,0
a_kinetic_core,damage_multiplier,linear,1,0.12,0,,,number,1,0,0
a_kinetic_cycle,fire_rate_multiplier,linear,1,0.04,0,,,number,1,0,0
a_laser_crystal,damage_multiplier,linear,1,0.14,0,,,number,1,0,0
a_laser_oscillator,fire_rate_multiplier,linear,1,0.035,0,,,number,1,0,0
a_laser_erosion,erosion_max_stacks,linear,10,0,0,,,integer,1,0,0
a_laser_erosion,erosion_duration,linear,3,0,0,,,number,1,0,0
a_missile_charge,damage_multiplier,linear,1,0.15,0,,,number,1,0,0
a_missile_guidance,projectile_speed_multiplier,linear,1,0.05,0,,,number,1,0,0
a_missile_guidance,damage_multiplier,linear,1,0.04,0,,,number,1,0,0
a_missile_cluster,cluster_fragments,linear,3,0,0,,,integer,1,0,0
a_missile_slow,slow_duration,linear,2.5,0,0,,,number,1,0,0
a_missile_slow,slow_boss_multiplier,linear,0.5,0,0,,,number,1,0,0
a_laser_refraction,refraction_targets,linear,2,0,0,,,integer,1,0,0
a_k2_dense_fire,k2_dense_hits_required,linear,3,0,0,,,integer,1,0,0
a_k2_dense_fire,k2_dense_fire_rate_multiplier,linear,1.05,0.01,0,,,number,1,0,0
a_k2_dense_fire,k2_dense_duration,linear,3,0,0,,,number,1,0,0
a_k2_recovery,k2_reload_reduction_seconds,linear,0.05,0.0075,0,,,number,1,0,0
a_k2_recovery,k2_reload_cooldown,linear,1,0,0,,,number,1,0,0
a_k3_marked_shot,k3_support_first_multiplier,linear,1.15,0.02,0,,,number,1,0,0
a_k3_mobile_gun,k3_mobile_warmup_retention,linear,0.2,0.015,0,,,number,1,0,0
a_k3_mobile_gun,k3_peak_damage_multiplier,linear,0.9,0,0,,,number,1,0,0
a_m2_dual_zone,m2_delayed_fraction,linear,0.175,0.005,0,,,number,1,0,0
a_m2_dual_zone,m2_delayed_seconds,linear,0.35,0,0,,,number,1,0,0
a_m2_shock_charge,m2_shock_required,linear,3,0,0,,,integer,1,0,0
a_m2_shock_charge,m2_next_damage_multiplier,linear,1.1,0.015,0,,,number,1,0,0
a_m2_shock_charge,m2_shock_cooldown,linear,4,0,0,,,number,1,0,0
a_m3_drill_charge,m3_drill_heavy_multiplier,linear,1.175,0.025,0,,,number,1,0,0
a_m3_escort_guidance,m3_escort_radius,linear,1.8,0,0,,,number,1,0,0
a_l2_charge_memory,l2_memory_seconds,linear,0.2,0.05,0,,,number,1,0,0
a_l2_charge_memory,l2_memory_fraction,linear,0.175,0.02,0,,,number,1,0,0
a_l2_resonance,l2_energy_resonance_per_second,linear,0.015,0.003,0,,,number,1,0,0
a_l2_resonance,l2_resonance_cap,linear,0.1,0.015,0,,,number,1,0,0
a_l3_wide_pulse,l3_pulse_radius_multiplier,linear,1.1,0.0125,0,,,number,1,0,0
a_l3_wide_pulse,l3_damage_multiplier,linear,0.8,0,0,,,number,1,0,0
a_l3_afterpulse,l3_afterpulse_seconds,linear,0.15,0.05,0,,,number,1,0,0
f_missile_recycle,kill_spawn_reduction_seconds,linear,0.175,0.01,0,0.425,,number,1,0,0
a_kinetic_pierce,pierce_damage_retention,linear,0.325,0.0075,1,0.4,,number,1,0,0
a_kinetic_ricochet,ricochet_damage_retention,linear,0.175,0.005,0,0.3,,number,1,0,0
a_laser_refraction,refraction_damage_retention,linear,0.175,0.005,0,0.3,,number,1,0,0
a_laser_erosion,erosion_damage_per_stack,linear,0.015,0.001,1,0.03,,number,1,0,0
a_missile_cluster,cluster_damage_retention,linear,0.075,0.0025,0,0.125,,number,1,0,0
a_missile_slow,slow_fraction,linear,0.1,0.02,0,0.3,,number,1,0,0
a_kinetic_pierce,pierce_extra_targets,floor_step,1,1,1,3,,integer,5,0,0
a_kinetic_ricochet,ricochet_targets,threshold,1,0,0,,,integer,1,8,2
a_m3_escort_guidance,m3_escort_lock_multiplier,reciprocal,1,0.06,0,,,number,1,0,0
