parent_id,position,color,description,display_key,display_mode,effect_label,icon,id,layer,name,priority,stage,has_airframes,has_kinds
root,0,70d9f4,增加装备该 Perk 的工厂编制，缺额由工厂正常补造。,,,,hangar,expanded_hangar,factory,扩展机库,50,0,true,true
root,1,7fe0bf,提高工厂补造速度，已有生产进度继续保留。,,,,assembly,assembly,factory,自动装配,51,0,true,true
root,2,e5be79,提高该工厂所属飞机的武器伤害。,,,,targeting,targeting,factory,精准火控,20,0,true,true
root,3,a7bdf5,提高所属飞机最大生命，改装不免费恢复生命。,,,,armor,armor,factory,强化装甲,52,0,true,true
root,4,85cedb,同时扩大所属飞机的巡航管辖并提高巡航速度。,,,,navigation,navigation,factory,巡航导航,53,0,true,true
root,5,ee9e90,提高所属飞机被击毁或冲撞时的自爆伤害。,,,,last_stand,last_stand,factory,殉爆核心,54,0,true,true
root,6,ecc58a,拦截机专属产线，为所属飞机提供更高伤害的动能弹芯。,,,,kinetic,f_kinetic_quality,factory,高密度弹芯产线,10,0,true,true
root,7,dfbc80,拦截机专属。提高所属飞机的开火频率。,,,,assembly,f_kinetic_feed,factory,高速供弹产线,40,0,true,true
root,8,f1a783,所属拦截机阵亡后，仅在本厂缺编并补造时推进当前进度；满编不囤积，不跨工厂生效。,,,,last_stand,f_kinetic_mobilize,factory,战损应急动员,100,1,true,true
root,9,cbb2ff,激光机专属。增强所属飞机的光束伤害。,,,,laser,f_laser_lattice,factory,晶格增益产线,11,0,true,true
root,10,c0a5ef,激光机专属。提高对大型战舰、Boss和工事的伤害。,,,,targeting,f_laser_focus,factory,大型目标聚焦,41,0,true,true
root,11,e0c3ff,所属激光机新造后的首次开火起8秒获得额外伤害；每条生命仅一次，维修重飞不重置预充。,,,,laser,f_laser_precharge,factory,出厂超频预充,101,1,true,true
root,12,ffa887,导弹机专属。提高所属飞机导弹伤害。,,,,missile,f_missile_warhead,factory,高能战斗部产线,12,0,true,true
root,13,f6ae8e,导弹机专属。扩大所属飞机导弹的爆炸范围。,,,,cluster,f_missile_payload,factory,扩散装药产线,42,0,true,true
root,14,ffc3a1,所属导弹击毁目标时，仅在本厂缺编并补造时推进当前进度；满编不囤积，每厂每秒至多一次。,,,,assembly,f_missile_recycle,factory,击毁回收补造,102,1,true,true
