attribute,type
action_radius,number
adjacent_point_defense,bool
armor_breach_seconds,number
breached_kinetic_heavy_coefficient,number
capacity_add,number
death_damage_bonus,number
death_radius_bonus,number
earth_shield_bonus,number
earth_shield_multiplier,number
energy_output_bonus,number
first_hit_multiplier,number
health_bonus,number
intercept_boost_cooldown,number
intercept_boost_duration,number
intercept_boost_multiplier,number
kinetic_burst_cooldown,number
kinetic_burst_duration,number
kinetic_burst_multiplier,number
kinetic_burst_warmup,number
kinetic_damage_bonus,number
kinetic_fire_rate_bonus,number
kinetic_light_damage_bonus,number
kinetic_range_bonus,number
kinetic_suppress_seconds,number
all_target_range_multiplier,number
laser_damage_bonus,number
laser_fire_rate_bonus,number
laser_range_bonus,number
laser_regen_delay,number
linked_cooldown,number
linked_damage_multiplier,number
linked_factory_count,number
linked_factory_window,number
mineral_kill_bonus,number
mineral_output_bonus,number
missile_blast_damage_bonus,number
missile_blast_radius_bonus,number
missile_damage_bonus,number
missile_extra_projectiles,number
missile_fire_rate_bonus,number
missile_large_heavy_multiplier,number
missile_range_bonus,number
missile_speed_bonus,number
mothership_attack,bool
new_facility_boost_duration,number
new_facility_boost_multiplier,number
patrol_outer_bonus,number
patrol_radius_bonus,number
patrol_speed_bonus,number
point_defense_budget,number
post_shield_kinetic_multiplier,number
post_shield_seconds,number
production_lanes,number
production_speed_bonus,number
proximity_fuse_radius,number
relief_patrol,bool
repair_speed_bonus,number
rescue_health_fraction,number
rescue_threshold,number
resource_core_fraction,number
sacrifice_shield_cap_per_second,number
sacrifice_shield_fraction,number
saturation_cooldown,number
saturation_damage_multiplier,number
saturation_hit_count,number
science_output_bonus,number
science_output_multiplier,number
science_refund_delay,number
science_refund_fraction,number
shield_break_field_duration,number
shield_break_field_radius,number
shield_break_stagger_seconds,number
shield_regeneration_bonus,number
strategic_enabled,bool
strategic_speed_multiplier,number
unlock_K2,bool
unlock_K3,bool
unlock_L1,bool
unlock_L2,bool
unlock_L3,bool
unlock_M1,bool
unlock_M2,bool
unlock_M3,bool
unlock_shield,bool
zero_shield_cooldown,number
zero_shield_duration,number
zero_shield_fraction,number
